text,label,category
"The Tenant shall pay a monthly rent of $1,500.00, due on the first day of each calendar month.",0,rental
"The Employee's annual salary shall be $75,000, payable in bi-weekly installments.",0,employment
"This agreement shall commence on January 1, 2026 and terminate on December 31, 2026.",0,rental
"The Company shall provide 15 days of paid vacation per calendar year.",0,employment
"Users must be at least 18 years of age to create an account on this platform.",0,tos
"Personal data collected includes name, email address, phone number, and billing address.",0,privacy
"The security deposit shall be $3,000, refundable within 30 days of lease termination.",0,rental
"The Employee shall work 40 hours per week, Monday through Friday, from 9:00 AM to 5:00 PM.",0,employment
"We use 256-bit AES encryption to protect all stored user data.",0,privacy
"The subscription fee is $9.99 per month, billed on the date of initial signup.",0,tos
"The Landlord shall maintain the structural integrity of the building including the roof, walls, and foundation.",0,rental
"Health insurance coverage begins on the first day of the month following 60 days of employment.",0,employment
"Users may cancel their subscription at any time through the account settings page.",0,tos
"We retain personal data for a maximum of 24 months after account deletion.",0,privacy
"The lease term is 12 months, beginning on March 1, 2026 and ending on February 28, 2027.",0,rental
"The notice period for voluntary resignation is 30 calendar days.",0,employment
"All payments are processed through Stripe and are subject to their security protocols.",0,tos
"Users may request a complete copy of their personal data by emailing privacy@company.com.",0,privacy
"The Tenant is permitted to have a maximum of two pets, each under 25 pounds.",0,rental
"Overtime work beyond 40 hours per week shall be compensated at 1.5 times the regular hourly rate.",0,employment
"The service is available in the United States, Canada, and the United Kingdom.",0,tos
"We do not sell personal data to third-party advertisers.",0,privacy
"Rent increases shall not exceed 3% per annum and require 60 days written notice.",0,rental
"The probationary period is 90 days from the date of hire.",0,employment
"Account passwords must be a minimum of 12 characters and include one uppercase letter and one number.",0,tos
"Cookie consent must be provided before any non-essential cookies are placed on the user's device.",0,privacy
"The Landlord shall provide 24 hours written notice before entering the premises for inspection.",0,rental
"Severance pay shall equal two weeks of salary for each completed year of employment.",0,employment
"Refunds for annual subscriptions are available within 14 days of purchase.",0,tos
"Data breach notifications will be sent to affected users within 72 hours of discovery.",0,privacy
"The Tenant shall not sublease the premises without prior written consent from the Landlord.",0,rental
