clause_id,text,rule_based_score,ml_confidence,combined_score,risk_level,issues_count
1.6,"We shall not be liable for any indirect, incidental, or consequential damages arising out of or in connection with your use of the service.",100.0,0.9963563398118735,99.85,high,1
1.8,"We reserve the right to suspend or terminate your access to the service at our sole discretion, without prior notice.",100.0,0.993313497938772,99.73,high,1
1.4,"We may modify, suspend, or discontinue the service at any time without prior notice.",88.89,0.9938358309861439,93.09,high,3
1.9,We may update or modify these Terms at any time. Continued use of the service constitutes acceptance of the updated Terms.,83.33,0.9930072264280658,89.72,high,2
1.5,All payments made are subject to applicable terms and may be modified from time to time.,77.78,0.9841197450851455,86.03,high,3
1.7,The service may contain links to third-party websites or services that are not owned or controlled by us.,66.67,0.8368554047949885,73.48,high,1
1.10,These Terms shall be governed by and interpreted in accordance with the laws of India.,66.67,0.5241862130406852,59.03,medium,1
1.2,You agree to use the service only for lawful purposes and in a manner that does not violate any applicable laws or regulations.,0.0,0.8582205865098667,34.33,low,0
1.1,You must be at least 18 years of age or accessing the service under the supervision of a parent or legal guardian.,0.0,0.8686403193637908,5.25,low,0
1.3,You are responsible for maintaining the confidentiality of your account credentials and for all activities that occur under your account.,0.0,0.9762999559756096,0.95,low,0
